sample_id	exclude
MESC_CL5d7_H9_PD	FALSE
MESC_CL5d4_G5_PC	FALSE
MESC_CL5d7_D12_PD	FALSE
MESC_CL5d1_F11_PA	FALSE
MESC_CL5d7_G3_PD	FALSE
MESC_CL5d7_D1_PD	FALSE
MESC_CL5d4_A6_PC	FALSE
MESC_CL5d7_B4_PD	FALSE
MESC_CL5d1_A4_PA	FALSE
MESC_CL5d4_B8_PC	FALSE
MESC_CL5d4_C6_PC	TRUE
MESC_CL5d2_F2_PB	FALSE
MESC_CL5d2_H4_PB	FALSE
MESC_CL5d2_A8_PB	TRUE
MESC_CL5d2_A3_PB	FALSE
MESC_CL5d2_D3_PB	FALSE
MESC_CL5d7_F12_PD	FALSE
MESC_CL5d7_B11_PD	FALSE
MESC_CL5d2_F3_PB	FALSE
MESC_CL5d1_C12_PA	FALSE
MESC_CL5d1_H12_PA	FALSE
MESC_CL5d7_E7_PD	FALSE
MESC_CL5d4_H12_PC	FALSE
MESC_CL5d4_D12_PC	FALSE
MESC_CL5d7_H2_PD	FALSE
MESC_CL5d4_G7_PC	FALSE
MESC_CL5d4_A7_PC	FALSE
MESC_CL5d1_E2_PA	FALSE
MESC_CL5d1_G1_PA	FALSE
MESC_CL5d7_D2_PD	FALSE
MESC_CL5d1_G2_PA	FALSE
MESC_CL5d2_A5_PB	FALSE
MESC_CL5d2_F9_PB	FALSE
MESC_CL5d2_C2_PB	FALSE
MESC_CL5d4_E6_PC	FALSE
MESC_CL5d1_D5_PA	FALSE
MESC_CL5d1_B4_PA	FALSE
MESC_CL5d2_B8_PB	FALSE
MESC_CL5d1_B6_PA	FALSE
MESC_CL5d4_F3_PC	FALSE
MESC_CL5d1_F1_PA	FALSE
MESC_CL5d4_G11_PC	FALSE
MESC_CL5d7_H6_PD	TRUE
MESC_CL5d4_D1_PC	FALSE
MESC_CL5d7_G6_PD	FALSE
MESC_CL5d2_D6_PB	TRUE
MESC_CL5d4_B3_PC	FALSE
MESC_CL5d4_A8_PC	FALSE
MESC_CL5d2_F7_PB	FALSE
MESC_CL5d4_F10_PC	FALSE
MESC_CL5d4_H8_PC	TRUE
MESC_CL5d1_A9_PA	FALSE
MESC_CL5d4_G6_PC	FALSE
MESC_CL5d4_C7_PC	FALSE
MESC_CL5d2_C6_PB	FALSE
MESC_CL5d2_G6_PB	FALSE
MESC_CL5d7_D9_PD	FALSE
MESC_CL5d7_B2_PD	FALSE
MESC_CL5d4_E12_PC	FALSE
MESC_CL5d2_A4_PB	FALSE
MESC_CL5d7_H8_PD	FALSE
MESC_CL5d2_H1_PB	FALSE
MESC_CL5d4_C9_PC	TRUE
MESC_CL5d7_A8_PD	FALSE
MESC_CL5d1_C10_PA	FALSE
MESC_CL5d1_D12_PA	FALSE
MESC_CL5d7_B1_PD	FALSE
MESC_CL5d1_B8_PA	FALSE
MESC_CL5d1_C2_PA	FALSE
MESC_CL5d2_H10_PB	FALSE
MESC_CL5d4_C2_PC	FALSE
MESC_CL5d4_E9_PC	FALSE
MESC_CL5d4_F7_PC	FALSE
MESC_CL5d7_G8_PD	FALSE
MESC_CL5d7_B6_PD	FALSE
MESC_CL5d1_F8_PA	FALSE
MESC_CL5d7_C3_PD	FALSE
MESC_CL5d1_C6_PA	FALSE
MESC_CL5d2_G9_PB	FALSE
MESC_CL5d2_E11_PB	FALSE
MESC_CL5d4_F5_PC	FALSE
MESC_CL5d1_A12_PA	FALSE
MESC_CL5d7_D11_PD	FALSE
MESC_CL5d7_C6_PD	FALSE
MESC_CL5d7_A1_PD	FALSE
MESC_CL5d1_C5_PA	FALSE
MESC_CL5d4_G4_PC	FALSE
MESC_CL5d1_E7_PA	FALSE
MESC_CL5d1_C1_PA	FALSE
MESC_CL5d2_H6_PB	FALSE
MESC_CL5d7_H4_PD	FALSE
MESC_CL5d4_G3_PC	FALSE
MESC_CL5d7_F11_PD	FALSE
MESC_CL5d1_D1_PA	FALSE
MESC_CL5d2_B6_PB	FALSE
